method,tp,tn,fp,fn,accuracy,precision,recall_attack_detection_rate,f1,normal_false_positive_rate
classifier_prob_0.5,384,10013,0,0,1.0,1.0,1.0,1.0,0.0
prototype_prob_0.5,384,10013,0,0,1.0,1.0,1.0,1.0,0.0
recon_90,384,9011,1002,0,0.9036260459748005,0.27705627705627706,1.0,0.4338983050847458,0.10006990911814641
recon_95,384,9512,501,0,0.9518130229874002,0.43389830508474575,1.0,0.6052009456264775,0.050034954559073204
recon_99,384,9912,101,0,0.9902856593248053,0.7917525773195876,1.0,0.8837744533947066,0.01008688704683911
latent_dist_90,384,9011,1002,0,0.9036260459748005,0.27705627705627706,1.0,0.4338983050847458,0.10006990911814641
latent_dist_95,384,9512,501,0,0.9518130229874002,0.43389830508474575,1.0,0.6052009456264775,0.050034954559073204
latent_dist_99,384,9912,101,0,0.9902856593248053,0.7917525773195876,1.0,0.8837744533947066,0.01008688704683911
oracle_or95_balanced,384,9512,501,0,0.9518130229874002,0.43389830508474575,1.0,0.6052009456264775,0.050034954559073204
oracle_or90_aggressive,384,9011,1002,0,0.9036260459748005,0.27705627705627706,1.0,0.4338983050847458,0.10006990911814641
oracle_or95_with_latent,384,9141,872,0,0.916129652784457,0.3057324840764331,1.0,0.4682926829268293,0.08708678717667033
